Feature,Importance
Feature_8,0.12159277
Feature_5,0.10667057
Feature_7,0.097939976
Feature_14,0.07348722
Feature_12,0.072498135
Feature_2,0.06678032
Feature_16,0.063013606
Feature_11,0.053040754
Feature_1,0.04827337
Feature_6,0.04777174
Feature_13,0.04740864
Feature_10,0.047225248
Feature_0,0.04429871
Feature_9,0.037631996
Feature_3,0.03713146
Feature_4,0.035235483
Feature_15,0.0
