GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Lack of Fusion,Off Position,Other,Skip-Discontinuity,Splatter,Surface Porosity,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,0.860054,18249,0.860054,13,0.997962,0.00167,0.000292,5.5e-05,1.8e-05,2e-06,0.0,0.0,0.0,0.997962,0.996292,104.505188,89.351601,161.264465,188.476898,1.0,0.872975,138.914249,132.884827,99.125298,56.759277
Good,0.800792,17564,0.800792,6,0.829547,0.167874,0.00207,0.000361,0.000147,1e-06,0.0,0.0,0.0,0.829547,0.661673,107.180702,91.35112,162.5961,190.760635,1.0,0.94022,141.055878,134.888401,99.409515,55.415398
Good,0.768239,17313,0.768239,7,0.992912,0.002683,0.002631,0.001663,9.8e-05,8e-06,4e-06,0.0,0.0,0.992912,0.990229,108.015602,89.950211,163.097672,189.25267,1.0,0.86735,139.60144,135.556637,99.30246,55.082069
Good,0.952371,19380,0.952371,16,0.955404,0.027672,0.009312,0.00734,0.000202,6.4e-05,5e-06,1e-06,0.0,0.955404,0.927732,104.628387,88.591324,161.658936,185.028122,1.0,0.902169,136.809723,133.143661,96.436798,57.030548
Good,0.79445,20007,0.79445,9,0.997153,0.001864,0.000884,6.2e-05,3.5e-05,1e-06,0.0,0.0,0.0,0.997153,0.995289,107.308395,89.500931,163.190292,186.922806,1.0,0.932605,138.211868,135.249344,97.421875,55.881897
Good,0.76278,18000,0.76278,10,0.94562,0.044046,0.007082,0.002421,0.000754,6.1e-05,1.6e-05,1e-06,0.0,0.94562,0.901574,103.338417,94.415695,161.536575,192.515091,1.0,0.742997,143.465393,132.437496,98.099396,58.198158
Good,0.864722,18806,0.864722,9,0.972642,0.020198,0.006901,0.0002,5.7e-05,2e-06,0.0,0.0,0.0,0.972642,0.952444,101.23468,91.87822,162.360931,189.017319,1.0,0.789862,140.447769,131.797806,97.139099,61.126251
Good,0.86791,15030,0.86791,13,0.980574,0.017428,0.001402,0.000503,8.4e-05,6e-06,1e-06,0.0,0.0,0.980574,0.963146,101.104904,91.41774,161.092178,187.806808,1.0,0.876105,139.612274,131.098541,96.389069,59.987274
Good,0.628103,12126,0.628103,14,0.894705,0.084072,0.011668,0.008705,0.00062,0.000213,1.6e-05,0.0,0.0,0.894705,0.810633,105.535156,89.403824,160.623657,187.589523,1.0,0.859585,138.496674,133.079407,98.185699,55.088501
Good,0.582708,11626,0.582708,3,0.967579,0.024941,0.006633,0.000616,0.000212,1.8e-05,0.0,0.0,0.0,0.967579,0.942638,103.861946,74.846695,161.454712,209.811935,1.0,0.960251,142.329315,132.658329,134.96524,57.592766
