GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Lack of Fusion,Off Position,Other,Presence,Skip-Discontinuity,Splatter,Surface Porosity,Weld Length,CL_ConfMax,CL_ConfMargin,Burn Through,Burn Through.1,Good.1,Good.2,Lack of Fusion.1,Lack of Fusion.2,Off Position.1,Off Position.2,Other.1,Other.2,Porosity,Porosity.1,Skip Discontinuous,Skip Discontinuous.1,Splatter.1,Splatter.2,Surface Porosity.1,Surface Porosity.2,Weld Length.1,Weld LengthOD1_ClassID, OD1_Conf, OD1_CenterX, OD1_CenterY, OD1_Width, OD1_HeightOD2_ClassID, OD2_Conf
Good,0.844229,10338,0.844229,5,0.995724,0.004276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995724,0.991448,0.0,0,0.578519,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.578519,131.659901,125.677113,135.437889,53.694908
Good,0.880272,18601,0.880272,4,0.999989,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999989,0.999977,0.0,0,0.906883,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.906883,133.09988,132.528336,137.799385,57.176208
Good,0.722668,13525,0.722668,5,0.99516,0.00484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99516,0.990319,0.0,0,0.848482,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.848482,132.419235,126.491043,138.694824,49.360016
Good,0.856883,16977,0.856883,4,0.81336,0.186639,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81336,0.626721,0.0,0,0.862433,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.862433,133.563953,123.58976,141.62252,48.871414
Good,0.611205,7825,0.611205,6,0.999997,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999997,0.999994,0.0,0,0.777943,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.777943,134.07021,124.16824,131.998558,46.088356
Good,0.621726,10639,0.621726,4,0.999445,0.000555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999445,0.99889,0.0,0,0.724093,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.724093,131.777393,124.013165,134.136559,49.605141
Good,0.847517,13029,0.847517,4,0.999986,1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999986,0.999972,0.0,0,0.608658,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.608658,131.349293,123.827358,129.383751,47.50605
Good,0.757105,14751,0.757105,6,0.999864,0.000136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999864,0.999729,0.0,0,0.876021,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.876021,133.03569,123.101696,140.528076,49.502419
Good,0.734343,13507,0.734343,6,0.967466,0.032534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967466,0.934933,0.0,0,0.844287,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.844287,130.667019,123.216537,140.249031,51.045013
Good,0.790182,14908,0.790182,6,0.992629,0.007371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992629,0.985258,0.0,0,0.666945,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.666945,135.34779,126.02533,138.657204,46.581573
Good,0.798844,9877,0.798844,7,0.998698,0.001302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998698,0.997396,0.0,0,0.545074,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.545074,130.514587,123.032238,129.022919,46.67289
Good,0.746107,7390,0.746107,5,0.997572,0.002427,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997572,0.995145,0.0,0,0.867099,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.867099,129.956299,120.996731,136.045288,55.276527
Good,0.809159,4860,0.809159,6,0.941104,0.058828,6.4e-05,2e-06,2e-06,0.0,0.0,0.0,0.0,0.0,0.941104,0.882276,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.659609,1,0.0,0,0.0,0,0.0,0,6,0.659609,130.170933,122.110863,129.81823,47.466202
Good,0.742952,4814,0.742952,6,0.774858,0.225113,2.1e-05,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.774858,0.549745,0.0,0,0.693627,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.693627,131.20438,120.879318,133.380424,47.299774
Good,0.717195,5535,0.717195,6,0.992957,0.007041,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.992957,0.985916,0.0,0,0.67776,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.67776,131.815552,121.929466,136.588593,53.414322
Good,0.685999,6547,0.685999,9,0.999755,0.000245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999755,0.999509,0.0,0,0.85996,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.85996,128.468708,126.344467,137.971764,50.000153
Good,0.758335,6819,0.758335,5,0.999889,0.000111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999889,0.999778,0.0,0,0.529759,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.529759,129.885681,123.103813,136.421204,50.656693
Good,0.705045,15605,0.705045,8,0.998617,0.001382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998617,0.997235,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.601736,1,0.0,0,8,0.601736,128.625935,119.46286,130.885094,42.252838
Good,0.66439,7817,0.66439,6,0.999977,2.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999977,0.999955,0.0,0,0.863553,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.863553,133.38895,124.244938,140.131279,50.258049
