GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Lack of Fusion,Off Position,Other,Presence,Skip-Discontinuity,Splatter,Surface Porosity,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,1.140672,26341,1.140672,3,0.999997,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999997,0.999995,84.252914,118.576492,171.605469,195.903488,1.0,0.999904,157.23999,127.929192,77.326996,87.352554
Good,1.103847,25646,1.103847,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,86.141457,121.082077,172.67099,193.589279,1.0,0.999811,157.335678,129.406223,72.507202,86.529533
Good,1.042311,26824,1.042311,4,0.999996,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996,0.999993,84.065399,119.396523,171.236755,194.523438,1.0,0.999924,156.95998,127.651077,75.126915,87.171356
Good,1.078352,26108,1.078352,4,0.999998,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999998,0.999995,84.814301,118.070816,172.468964,196.485062,1.0,0.999861,157.277939,128.641632,78.414246,87.654663
Good,1.108577,24111,1.108577,4,0.999997,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999997,0.999993,85.060493,119.124878,171.286774,195.2547,1.0,0.99997,157.189789,128.173634,76.129822,86.22628
Good,0.97128,29891,0.97128,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.999999,102.556335,116.173347,167.716309,196.276428,1.0,0.999113,156.224888,135.136322,80.103081,65.159973
Good,1.179607,25644,1.179607,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.458618,117.726517,171.264099,193.501144,1.0,0.954019,155.613831,135.861359,75.774628,70.805481
Good,0.955103,30246,0.955103,6,0.999999,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999,0.999997,101.575562,118.559052,168.300354,192.787445,1.0,0.983323,155.673248,134.937958,74.228394,66.724792
Good,0.960601,28983,0.960601,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.385284,77.218452,174.527435,140.597961,1.0,0.998729,108.908207,129.95636,63.379509,89.142151
Good,0.942482,29454,0.942482,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.099594,75.79232,171.265762,145.187744,1.0,0.999914,110.490032,128.182678,69.395424,86.166168
