GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn Through,Good,Notching,Porosity,CL_ConfMax,CL_ConfMargin,Row1,Col1,Length1,Length2,PHI,OD1_ClassID,OD1_Conf
Good,0.746552,5014,0.746552,14,0.82258,0.160854,0.016549,1.7e-05,0.82258,0.661725,212.55127,260.145905,94.441238,98.887047,1.129037,0.0,1.0
Good,0.71402,4545,0.71402,16,0.584028,0.350821,0.065105,4.7e-05,0.584028,0.233207,247.083984,258.788269,95.777641,99.670364,1.122547,0.0,0.999985
Good,0.731868,3038,0.731868,14,0.983067,0.016345,0.000587,0.0,0.983067,0.966722,253.859558,254.413376,93.951668,100.850647,1.080037,0.0,0.999999
Good,0.762106,2494,0.762106,20,0.878122,0.099841,0.022035,2e-06,0.878122,0.778281,206.310287,258.50415,96.623833,93.111061,1.061025,0.0,0.999953
Good,0.765732,2314,0.765732,22,0.950252,0.044459,0.005288,0.0,0.950252,0.905793,209.661728,255.776093,96.264381,96.739105,1.074648,0.0,0.999996
Good,0.756085,3791,0.756085,13,0.67407,0.252865,0.072961,0.000103,0.67407,0.421205,208.51915,259.726654,95.905922,101.729469,1.104093,0.0,0.999998
Good,0.76365,2806,0.76365,29,0.934778,0.062449,0.002771,1e-06,0.934778,0.872329,205.95874,252.529541,97.401016,99.826645,1.11419,0.0,0.999999
Good,0.736797,4221,0.736797,17,0.969002,0.028968,0.00203,0.0,0.969002,0.940033,255.344971,260.67041,95.363617,103.606201,1.073639,0.0,1.0
Good,0.764453,3272,0.764453,21,0.839705,0.120319,0.039965,1.2e-05,0.839705,0.719386,218.012009,252.831497,95.021164,100.662666,1.059434,0.0,0.999999
Good,0.753276,3057,0.753276,13,0.900385,0.090081,0.009535,0.0,0.900385,0.810304,214.425461,261.661133,93.127129,89.367622,1.015572,0.0,0.999979
Good,0.707552,2667,0.707552,20,0.983306,0.016473,0.000221,0.0,0.983306,0.966833,243.029831,263.376617,97.575874,102.357155,1.109408,0.0,0.999993
Good,0.733774,2735,0.733774,18,0.9756,0.024152,0.000248,0.0,0.9756,0.951448,248.667175,264.689728,93.820007,100.618195,1.078436,0.0,0.999999
Good,0.749255,3561,0.749255,16,0.950144,0.025174,0.024682,0.0,0.950144,0.924971,207.931122,266.36438,92.775726,98.566238,1.042639,0.0,0.999994
Good,0.73648,2937,0.73648,20,0.991749,0.006836,0.001414,0.0,0.991749,0.984913,234.745377,263.987244,103.896683,98.405571,1.102275,0.0,0.999997
Good,0.761506,2331,0.761506,14,0.704192,0.282934,0.012874,1e-06,0.704192,0.421258,209.323929,222.71257,93.323593,98.245125,1.082511,0.0,0.999997
Good,0.76932,2283,0.76932,18,0.608307,0.383322,0.00837,0.0,0.608307,0.224985,207.262772,259.499817,95.890259,92.982285,1.082048,0.0,0.999997
Good,0.748344,2825,0.748344,5,0.827731,0.072285,0.051657,0.048327,0.827731,0.755446,239.131912,253.562622,104.896507,101.496941,1.649104,0.0,0.999997
Good,0.738509,2740,0.738509,7,0.802404,0.082293,0.060332,0.054971,0.802404,0.720111,237.17749,253.933121,104.132744,101.160339,1.629095,0.0,0.999999
Good,0.736247,2712,0.736247,7,0.774795,0.089835,0.073908,0.061463,0.774795,0.68496,240.292709,254.872559,105.095261,101.61116,1.664863,0.0,0.999995
Good,0.743587,3642,0.743587,4,0.676001,0.205243,0.109105,0.009651,0.676001,0.470759,243.053741,249.908157,105.955429,106.432259,1.622772,0.0,1.0
Good,0.724203,3694,0.724203,5,0.698592,0.223583,0.061185,0.01664,0.698592,0.475008,243.013306,249.559891,106.146706,106.558273,1.630943,0.0,1.0
